%% 2014 CUMCM-B: Creative Folding Table: parameters of beams   
%                                                               
%     |<---x--->|<------l------>|                    unit: cm   
%      ______________________________________     _ _           
%     /____________________________________ /|   _/_  W         
%     |         ________________           | |    |             
%     |top      |___slot hole___|    bottom| |    |  H          
%     |____________________________________|/    _|_            
%                                                               
%     |<---------------- L --------------->|                    
%                                                               
%% Number of beams: 40

%% size of rectangular flat: 120.00 X 50.00 X 3.00 

% Id	      L	      W	      H	      x	      l
  1	  52.19	   2.50	   3.00	  26.10	  -0.00
  2	  46.83	   2.50	   3.00	  20.73	   4.05
  3	  43.46	   2.50	   3.00	  17.37	   7.16
  4	  41.00	   2.50	   3.00	  14.90	   9.72
  5	  39.12	   2.50	   3.00	  13.02	  11.85
  6	  37.67	   2.50	   3.00	  11.58	  13.58
  7	  36.58	   2.50	   3.00	  10.48	  14.94
  8	  35.79	   2.50	   3.00	   9.70	  15.94
  9	  35.28	   2.50	   3.00	   9.19	  16.61
 10	  35.03	   2.50	   3.00	   8.93	  16.94
 11	  35.03	   2.50	   3.00	   8.93	  16.94
 12	  35.28	   2.50	   3.00	   9.19	  16.61
 13	  35.79	   2.50	   3.00	   9.70	  15.94
 14	  36.58	   2.50	   3.00	  10.48	  14.94
 15	  37.67	   2.50	   3.00	  11.58	  13.58
 16	  39.12	   2.50	   3.00	  13.02	  11.85
 17	  41.00	   2.50	   3.00	  14.90	   9.72
 18	  43.46	   2.50	   3.00	  17.37	   7.16
 19	  46.83	   2.50	   3.00	  20.73	   4.05
 20	  52.19	   2.50	   3.00	  26.10	  -0.00
 21	  52.19	   2.50	   3.00	  26.10	  -0.00
 22	  46.83	   2.50	   3.00	  20.73	   4.05
 23	  43.46	   2.50	   3.00	  17.37	   7.16
 24	  41.00	   2.50	   3.00	  14.90	   9.72
 25	  39.12	   2.50	   3.00	  13.02	  11.85
 26	  37.67	   2.50	   3.00	  11.58	  13.58
 27	  36.58	   2.50	   3.00	  10.48	  14.94
 28	  35.79	   2.50	   3.00	   9.70	  15.94
 29	  35.28	   2.50	   3.00	   9.19	  16.61
 30	  35.03	   2.50	   3.00	   8.93	  16.94
 31	  35.03	   2.50	   3.00	   8.93	  16.94
 32	  35.28	   2.50	   3.00	   9.19	  16.61
 33	  35.79	   2.50	   3.00	   9.70	  15.94
 34	  36.58	   2.50	   3.00	  10.48	  14.94
 35	  37.67	   2.50	   3.00	  11.58	  13.58
 36	  39.12	   2.50	   3.00	  13.02	  11.85
 37	  41.00	   2.50	   3.00	  14.90	   9.72
 38	  43.46	   2.50	   3.00	  17.37	   7.16
 39	  46.83	   2.50	   3.00	  20.73	   4.05
 40	  52.19	   2.50	   3.00	  26.10	  -0.00
