%% 2014 CUMCM-B: Creative Folding Table: parameters of beams   
%                                                               
%     |<---x--->|<------l------>|                    unit: cm   
%      ______________________________________     _ _           
%     /____________________________________ /|   _/_  W         
%     |         ________________           | |    |             
%     |top      |___slot hole___|    bottom| |    |  H          
%     |____________________________________|/    _|_            
%                                                               
%     |<---------------- L --------------->|                    
%                                                               
%% Number of beams: 40

%% size of rectangular flat: 122.00 X 50.00 X 3.00 

% Id	      L	      W	      H	      x	      l
  1	  52.08	   2.50	   3.00	  26.04	  -0.00
  2	  45.95	   2.50	   3.00	  19.91	   4.76
  3	  42.10	   2.50	   3.00	  16.06	   8.50
  4	  39.29	   2.50	   3.00	  13.25	  11.62
  5	  37.14	   2.50	   3.00	  11.10	  14.21
  6	  35.48	   2.50	   3.00	   9.45	  16.32
  7	  34.24	   2.50	   3.00	   8.20	  17.98
  8	  33.34	   2.50	   3.00	   7.30	  19.21
  9	  32.75	   2.50	   3.00	   6.71	  20.02
 10	  32.46	   2.50	   3.00	   6.43	  20.42
 11	  32.46	   2.50	   3.00	   6.43	  20.42
 12	  32.75	   2.50	   3.00	   6.71	  20.02
 13	  33.34	   2.50	   3.00	   7.30	  19.21
 14	  34.24	   2.50	   3.00	   8.20	  17.98
 15	  35.48	   2.50	   3.00	   9.45	  16.32
 16	  37.14	   2.50	   3.00	  11.10	  14.21
 17	  39.29	   2.50	   3.00	  13.25	  11.62
 18	  42.10	   2.50	   3.00	  16.06	   8.50
 19	  45.95	   2.50	   3.00	  19.91	   4.76
 20	  52.08	   2.50	   3.00	  26.04	  -0.00
 21	  52.08	   2.50	   3.00	  26.04	  -0.00
 22	  45.95	   2.50	   3.00	  19.91	   4.76
 23	  42.10	   2.50	   3.00	  16.06	   8.50
 24	  39.29	   2.50	   3.00	  13.25	  11.62
 25	  37.14	   2.50	   3.00	  11.10	  14.21
 26	  35.48	   2.50	   3.00	   9.45	  16.32
 27	  34.24	   2.50	   3.00	   8.20	  17.98
 28	  33.34	   2.50	   3.00	   7.30	  19.21
 29	  32.75	   2.50	   3.00	   6.71	  20.02
 30	  32.46	   2.50	   3.00	   6.43	  20.42
 31	  32.46	   2.50	   3.00	   6.43	  20.42
 32	  32.75	   2.50	   3.00	   6.71	  20.02
 33	  33.34	   2.50	   3.00	   7.30	  19.21
 34	  34.24	   2.50	   3.00	   8.20	  17.98
 35	  35.48	   2.50	   3.00	   9.45	  16.32
 36	  37.14	   2.50	   3.00	  11.10	  14.21
 37	  39.29	   2.50	   3.00	  13.25	  11.62
 38	  42.10	   2.50	   3.00	  16.06	   8.50
 39	  45.95	   2.50	   3.00	  19.91	   4.76
 40	  52.08	   2.50	   3.00	  26.04	  -0.00
