%% 2014 CUMCM-B: Creative Folding Table: parameters of beams   
%                                                               
%     |<---x--->|<------l------>|                    unit: cm   
%      ______________________________________     _ _           
%     /____________________________________ /|   _/_  W         
%     |         ________________           | |    |             
%     |top      |___slot hole___|    bottom| |    |  H          
%     |____________________________________|/    _|_            
%                                                               
%     |<---------------- L --------------->|                    
%                                                               
%% Number of beams: 40

%% size of rectangular flat: 132.00 X 50.00 X 3.00 

% Id	      L	      W	      H	      x	      l
  1	  62.89	   2.50	   3.00	  31.44	  -0.00
  2	  56.85	   2.50	   3.00	  25.40	   4.50
  3	  54.40	   2.50	   3.00	  22.96	   6.65
  4	  51.96	   2.50	   3.00	  20.51	   9.00
  5	  49.51	   2.50	   3.00	  18.07	  11.55
  6	  47.27	   2.50	   3.00	  15.83	  14.07
  7	  45.08	   2.50	   3.00	  13.63	  16.69
  8	  42.89	   2.50	   3.00	  11.44	  19.46
  9	  40.14	   2.50	   3.00	   8.70	  23.12
 10	  36.91	   2.50	   3.00	   5.47	  27.70
 11	  36.91	   2.50	   3.00	   5.47	  27.70
 12	  40.14	   2.50	   3.00	   8.70	  23.12
 13	  42.89	   2.50	   3.00	  11.44	  19.46
 14	  45.08	   2.50	   3.00	  13.63	  16.69
 15	  47.27	   2.50	   3.00	  15.83	  14.07
 16	  49.51	   2.50	   3.00	  18.07	  11.55
 17	  51.96	   2.50	   3.00	  20.51	   9.00
 18	  54.40	   2.50	   3.00	  22.96	   6.65
 19	  56.85	   2.50	   3.00	  25.40	   4.50
 20	  62.89	   2.50	   3.00	  31.44	  -0.00
 21	  62.95	   2.50	   3.00	  31.48	   0.00
 22	  57.56	   2.50	   3.00	  26.08	   3.94
 23	  56.39	   2.50	   3.00	  24.92	   4.92
 24	  55.22	   2.50	   3.00	  23.75	   5.93
 25	  54.06	   2.50	   3.00	  22.58	   7.00
 26	  54.38	   2.50	   3.00	  22.90	   6.70
 27	  55.08	   2.50	   3.00	  23.60	   6.07
 28	  55.78	   2.50	   3.00	  24.30	   5.45
 29	  57.77	   2.50	   3.00	  26.30	   3.77
 30	  60.91	   2.50	   3.00	  29.44	   1.39
 31	  60.91	   2.50	   3.00	  29.44	   1.39
 32	  57.77	   2.50	   3.00	  26.30	   3.77
 33	  55.78	   2.50	   3.00	  24.30	   5.45
 34	  55.08	   2.50	   3.00	  23.60	   6.07
 35	  54.38	   2.50	   3.00	  22.90	   6.70
 36	  54.06	   2.50	   3.00	  22.58	   7.00
 37	  55.22	   2.50	   3.00	  23.75	   5.93
 38	  56.39	   2.50	   3.00	  24.92	   4.92
 39	  57.56	   2.50	   3.00	  26.08	   3.94
 40	  62.95	   2.50	   3.00	  31.48	  -0.00
