%% 2014 CUMCM-B: Creative Folding Table: parameters of beams   
%                                                               
%     |<---x--->|<------l------>|                    unit: cm   
%      ______________________________________     _ _           
%     /____________________________________ /|   _/_  W         
%     |         ________________           | |    |             
%     |top      |___slot hole___|    bottom| |    |  H          
%     |____________________________________|/    _|_            
%                                                               
%     |<---------------- L --------------->|                    
%                                                               
%% Number of beams: 40

%% size of rectangular flat: 128.00 X 50.00 X 3.00 

% Id	      L	      W	      H	      x	      l
  1	  50.88	   2.50	   3.00	  25.44	   0.00
  2	  49.63	   2.50	   3.00	  24.19	   0.98
  3	  48.38	   2.50	   3.00	  22.94	   2.01
  4	  47.13	   2.50	   3.00	  21.69	   3.11
  5	  45.88	   2.50	   3.00	  20.44	   4.27
  6	  44.63	   2.50	   3.00	  19.19	   5.49
  7	  43.38	   2.50	   3.00	  17.94	   6.78
  8	  42.12	   2.50	   3.00	  16.69	   8.12
  9	  40.88	   2.50	   3.00	  15.44	   9.54
 10	  39.62	   2.50	   3.00	  14.19	  11.01
 11	  39.62	   2.50	   3.00	  14.19	  11.01
 12	  40.88	   2.50	   3.00	  15.44	   9.54
 13	  42.12	   2.50	   3.00	  16.69	   8.12
 14	  43.38	   2.50	   3.00	  17.94	   6.78
 15	  44.62	   2.50	   3.00	  19.19	   5.49
 16	  45.88	   2.50	   3.00	  20.44	   4.27
 17	  47.12	   2.50	   3.00	  21.69	   3.11
 18	  48.38	   2.50	   3.00	  22.94	   2.01
 19	  49.62	   2.50	   3.00	  24.19	   0.98
 20	  50.88	   2.50	   3.00	  25.44	   0.00
 21	  50.88	   2.50	   3.00	  25.44	   0.00
 22	  49.62	   2.50	   3.00	  24.19	   0.98
 23	  48.38	   2.50	   3.00	  22.94	   2.01
 24	  47.12	   2.50	   3.00	  21.69	   3.11
 25	  45.88	   2.50	   3.00	  20.44	   4.27
 26	  44.62	   2.50	   3.00	  19.19	   5.49
 27	  43.38	   2.50	   3.00	  17.94	   6.78
 28	  42.12	   2.50	   3.00	  16.69	   8.12
 29	  40.88	   2.50	   3.00	  15.44	   9.54
 30	  39.62	   2.50	   3.00	  14.19	  11.01
 31	  39.62	   2.50	   3.00	  14.19	  11.01
 32	  40.88	   2.50	   3.00	  15.44	   9.54
 33	  42.12	   2.50	   3.00	  16.69	   8.12
 34	  43.38	   2.50	   3.00	  17.94	   6.78
 35	  44.62	   2.50	   3.00	  19.19	   5.49
 36	  45.88	   2.50	   3.00	  20.44	   4.27
 37	  47.12	   2.50	   3.00	  21.69	   3.11
 38	  48.38	   2.50	   3.00	  22.94	   2.01
 39	  49.62	   2.50	   3.00	  24.19	   0.98
 40	  50.88	   2.50	   3.00	  25.44	   0.00
