%% 2014 CUMCM-B: Creative Folding Table: parameters of beams   
%                                                               
%     |<---x--->|<------l------>|                    unit: cm   
%      ______________________________________     _ _           
%     /____________________________________ /|   _/_  W         
%     |         ________________           | |    |             
%     |top      |___slot hole___|    bottom| |    |  H          
%     |____________________________________|/    _|_            
%                                                               
%     |<---------------- L --------------->|                    
%                                                               
%% Number of beams: 40

%% size of rectangular flat: 110.00 X 50.00 X 3.00 

% Id	      L	      W	      H	      x	      l
  1	  51.98	   2.50	   3.00	  25.99	   0.00
  2	  45.95	   2.50	   3.00	  19.96	   4.72
  3	  39.91	   2.50	   3.00	  13.92	  10.87
  4	  36.73	   2.50	   3.00	  10.74	  14.70
  5	  35.70	   2.50	   3.00	   9.70	  16.03
  6	  34.66	   2.50	   3.00	   8.67	  17.40
  7	  33.62	   2.50	   3.00	   7.63	  18.80
  8	  32.59	   2.50	   3.00	   6.60	  20.23
  9	  31.55	   2.50	   3.00	   5.56	  21.70
 10	  30.52	   2.50	   3.00	   4.53	  23.21
 11	  30.52	   2.50	   3.00	   4.53	  23.21
 12	  31.55	   2.50	   3.00	   5.56	  21.70
 13	  32.59	   2.50	   3.00	   6.60	  20.23
 14	  33.62	   2.50	   3.00	   7.63	  18.80
 15	  34.66	   2.50	   3.00	   8.67	  17.40
 16	  35.70	   2.50	   3.00	   9.70	  16.03
 17	  36.73	   2.50	   3.00	  10.74	  14.70
 18	  39.91	   2.50	   3.00	  13.92	  10.87
 19	  45.95	   2.50	   3.00	  19.96	   4.72
 20	  51.98	   2.50	   3.00	  25.99	   0.00
 21	  51.98	   2.50	   3.00	  25.99	   0.00
 22	  45.95	   2.50	   3.00	  19.96	   4.72
 23	  39.91	   2.50	   3.00	  13.92	  10.87
 24	  36.73	   2.50	   3.00	  10.74	  14.70
 25	  35.70	   2.50	   3.00	   9.70	  16.03
 26	  34.66	   2.50	   3.00	   8.67	  17.40
 27	  33.62	   2.50	   3.00	   7.63	  18.80
 28	  32.59	   2.50	   3.00	   6.60	  20.23
 29	  31.55	   2.50	   3.00	   5.56	  21.70
 30	  30.52	   2.50	   3.00	   4.53	  23.21
 31	  30.52	   2.50	   3.00	   4.53	  23.21
 32	  31.55	   2.50	   3.00	   5.56	  21.70
 33	  32.59	   2.50	   3.00	   6.60	  20.23
 34	  33.62	   2.50	   3.00	   7.63	  18.80
 35	  34.66	   2.50	   3.00	   8.67	  17.40
 36	  35.70	   2.50	   3.00	   9.70	  16.03
 37	  36.73	   2.50	   3.00	  10.74	  14.70
 38	  39.91	   2.50	   3.00	  13.92	  10.87
 39	  45.95	   2.50	   3.00	  19.96	   4.72
 40	  51.98	   2.50	   3.00	  25.99	   0.00
