%% 2014 CUMCM-B: Creative Folding Table: parameters of beams   
%                                                               
%     |<---x--->|<------l------>|                    unit: cm   
%      ______________________________________     _ _           
%     /____________________________________ /|   _/_  W         
%     |         ________________           | |    |             
%     |top      |___slot hole___|    bottom| |    |  H          
%     |____________________________________|/    _|_            
%                                                               
%     |<---------------- L --------------->|                    
%                                                               
%% Number of beams: 40

%% size of rectangular flat: 108.00 X 50.00 X 3.00 

% Id	      L	      W	      H	      x	      l
  1	  52.75	   2.50	   3.00	  26.37	   0.00
  2	  50.25	   2.50	   3.00	  23.87	   1.67
  3	  47.75	   2.50	   3.00	  21.37	   3.57
  4	  45.25	   2.50	   3.00	  18.87	   5.71
  5	  42.75	   2.50	   3.00	  16.38	   8.10
  6	  40.25	   2.50	   3.00	  13.88	  10.75
  7	  37.75	   2.50	   3.00	  11.38	  13.64
  8	  35.25	   2.50	   3.00	   8.88	  16.78
  9	  32.75	   2.50	   3.00	   6.38	  20.13
 10	  30.25	   2.50	   3.00	   3.88	  23.69
 11	  30.25	   2.50	   3.00	   3.87	  23.69
 12	  32.75	   2.50	   3.00	   6.37	  20.13
 13	  35.25	   2.50	   3.00	   8.87	  16.78
 14	  37.75	   2.50	   3.00	  11.37	  13.64
 15	  40.25	   2.50	   3.00	  13.87	  10.75
 16	  42.75	   2.50	   3.00	  16.38	   8.10
 17	  45.25	   2.50	   3.00	  18.88	   5.71
 18	  47.75	   2.50	   3.00	  21.38	   3.57
 19	  50.25	   2.50	   3.00	  23.88	   1.67
 20	  52.75	   2.50	   3.00	  26.38	   0.00
 21	  52.75	   2.50	   3.00	  26.38	   0.00
 22	  50.25	   2.50	   3.00	  23.88	   1.67
 23	  47.75	   2.50	   3.00	  21.38	   3.57
 24	  45.25	   2.50	   3.00	  18.88	   5.71
 25	  42.75	   2.50	   3.00	  16.37	   8.10
 26	  40.25	   2.50	   3.00	  13.87	  10.75
 27	  37.75	   2.50	   3.00	  11.37	  13.64
 28	  35.25	   2.50	   3.00	   8.87	  16.78
 29	  32.75	   2.50	   3.00	   6.37	  20.13
 30	  30.25	   2.50	   3.00	   3.87	  23.69
 31	  30.25	   2.50	   3.00	   3.87	  23.69
 32	  32.75	   2.50	   3.00	   6.37	  20.13
 33	  35.25	   2.50	   3.00	   8.87	  16.78
 34	  37.75	   2.50	   3.00	  11.37	  13.64
 35	  40.25	   2.50	   3.00	  13.87	  10.75
 36	  42.75	   2.50	   3.00	  16.37	   8.10
 37	  45.25	   2.50	   3.00	  18.87	   5.71
 38	  47.75	   2.50	   3.00	  21.37	   3.57
 39	  50.25	   2.50	   3.00	  23.87	   1.67
 40	  52.75	   2.50	   3.00	  26.37	   0.00
